iter	Passed	Remaining
0	1	165
1	3	167
2	6	201
3	11	276
4	12	246
5	14	224
6	15	207
7	16	195
8	18	184
9	19	176
10	21	170
11	31	228
12	32	218
13	34	209
14	35	201
15	37	194
16	40	195
17	41	189
18	43	186
19	45	180
20	46	174
21	47	168
22	48	163
23	50	159
24	51	155
25	55	158
26	58	156
27	59	152
28	60	148
29	62	145
30	63	141
31	65	138
32	66	135
33	70	136
34	73	135
35	74	132
36	75	129
37	77	126
38	78	122
39	79	119
40	81	116
41	87	120
42	88	117
43	89	114
44	91	111
45	92	108
46	94	106
47	95	103
48	96	100
49	101	101
50	104	100
51	105	97
52	107	95
53	108	92
54	109	89
55	113	89
56	115	87
57	117	85
58	120	83
59	122	81
60	124	79
61	128	78
62	133	78
63	135	76
64	139	74
65	149	76
66	152	75
67	154	72
68	155	69
69	156	67
70	160	65
71	164	63
72	166	61
73	167	58
74	168	56
75	170	53
76	171	51
77	175	49
78	176	46
79	179	44
80	181	42
81	182	40
82	183	37
83	185	35
84	186	32
85	190	31
86	194	29
87	196	26
88	197	24
89	199	22
90	200	19
91	201	17
92	205	15
93	208	13
94	210	11
95	211	8
96	212	6
97	214	4
98	215	2
99	216	0
